Size(n),S,Key Comparisons,Time(ms),Time(s)
10000,32,139864,5.1152,0.0051152
20000,32,299189,2.9395,0.0029395000000000003
30000,32,524429,3.2214,0.0032214
40000,32,638526,4.2173,0.0042173
50000,32,862319,5.8841,0.005884100000000001
60000,32,1109565,4.8077,0.004807700000000001
70000,32,1143667,6.9154,0.0069154
80000,32,1356688,9.2819,0.009281900000000001
90000,32,1585912,8.8439,0.0088439
100000,32,1825216,8.9579,0.008957900000000001
110000,32,2075048,7.5131,0.007513100000000001
120000,32,2340403,7.3884,0.007388400000000001
130000,32,2615964,9.219,0.009219
140000,32,2425866,11.117899999999999,0.0111179
150000,32,2648210,11.987599999999999,0.011987600000000001
160000,32,2879377,12.5552,0.0125552
170000,32,3109768,12.962299999999999,0.012962300000000001
180000,32,3348982,13.6717,0.0136717
190000,32,3594517,14.301699999999999,0.0143017
200000,32,3848875,15.1038,0.0151038
210000,32,4105608,15.863399999999999,0.0158634
220000,32,4373506,16.644099999999998,0.016644100000000002
230000,32,4639731,16.3961,0.0163961
240000,32,4921804,15.7144,0.0157144
250000,32,5201574,16.27,0.01627
260000,32,5494153,17.4413,0.0174413
270000,32,4940086,18.8785,0.0188785
280000,32,5132842,20.4366,0.020436600000000003
290000,32,5362450,20.739,0.020739
300000,32,5598348,22.0518,0.0220518
310000,32,5834029,21.8679,0.021867900000000003
320000,32,6071367,23.5273,0.0235273
330000,32,6314484,23.5841,0.0235841
340000,32,6558700,23.7789,0.023778900000000002
350000,32,6805087,24.404999999999998,0.024405000000000003
360000,32,7063978,25.2672,0.0252672
370000,32,7315745,25.3585,0.025358500000000003
380000,32,7570880,26.738999999999997,0.026739000000000002
390000,32,7834277,27.4167,0.027416700000000002
400000,32,8098498,29.1314,0.029131400000000002
410000,32,8359287,28.4455,0.028445500000000002
420000,32,8632102,29.439999999999998,0.02944
430000,32,8904656,29.822,0.029822
440000,32,9185934,30.5401,0.0305401
450000,32,9464532,31.104599999999998,0.031104600000000003
460000,32,9743179,33.2879,0.0332879
