 ,S = 16,Size(N) = 250000
 ,Merge, , ,Hybrid
 ,Key Comparisons, Time taken(ms), ,Key Comparisons, Time taken(ms)
 ,4115467,3091.8577999999998, ,4501759,40.1336
 ,4114978,3429.6922999999997, ,4501666,17.9008
 ,4114839,3429.0153, ,4502559,18.0967
 ,4115591,3449.9184999999998, ,4503673,21.670199999999998
 ,4115061,3432.3677, ,4506295,21.5891
 ,4115131,3458.5670999999998, ,4501089,21.4601
 ,4114880,3454.4224999999997, ,4501227,21.0617
 ,4114975,3430.5072, ,4503352,22.1331
 ,4114583,3454.6445, ,4501478,21.619999999999997
 ,4114818,3461.0975, ,4501339,22.570899999999998
 ,4114714,3447.3644, ,4505630,23.041999999999998
 ,4115147,3449.4103, ,4501849,17.9486
 ,4114771,3436.0667, ,4500652,18.2503
 ,4114814,3436.8586, ,4502645,18.136599999999998
 ,4114391,3472.1043999999997, ,4502727,18.023799999999998
 ,4114696,3495.4105999999997, ,4501587,17.9404
 ,4114868,3447.4137, ,4502715,18.087
 ,4115387,3431.1162, ,4501838,17.8701
 ,4115154,3433.7475999999997, ,4503048,18.2124
 ,4114792,3438.9318, ,4502601,17.901

Average,4114952,3429.025735, ,4502486,20.68242
