Vertices,Density,Time taken(ms)
100,1,836
100,2,957
100,3,1052
100,4,1142
100,5,1203
100,6,1278
100,7,1306
100,8,1354
100,9,1415
100,10,1603
100,11,1518
100,12,1529
100,13,1560
100,14,1705
100,15,1635
100,16,1713
100,17,1633
100,18,1721
100,19,1753
100,20,1753
100,21,1819
100,22,1873
100,23,1864
100,24,2006
100,25,1974
100,26,1999
100,27,2006
100,28,2020
100,29,2041
100,30,2061
100,31,2103
100,32,2116
100,33,2219
100,34,2184
100,35,2416
100,36,2210
100,37,2310
100,38,2227
100,39,2307
100,40,2334
100,41,2620
100,42,2670
100,43,2405
100,44,2906
100,45,2433
100,46,2574
100,47,2676
100,48,2571
100,49,2504
100,50,2670
100,51,2701
100,52,2701
100,53,2610
100,54,2632
100,55,2673
100,56,2727
100,57,2758
100,58,2705
100,59,2748
100,60,2750
100,61,2765
100,62,2821
100,63,2825
100,64,3027
100,65,2814
100,66,2847
100,67,2986
100,68,2904
100,69,2908
100,70,3259
100,71,2913
100,72,3957
100,73,3240
100,74,2995
100,75,3158
100,76,3337
100,77,3132
100,78,3364
100,79,3691
100,80,3125
100,81,3209
100,82,3125
100,83,3208
100,84,3512
100,85,3243
100,86,3302
100,87,3510
100,88,3611
100,89,3320
100,90,3341
100,91,3286
100,92,3333
100,93,3608
100,94,3436
100,95,3553
100,96,3469
100,97,3391
100,98,3428
100,99,3365
100,100,3451
