source,target,weight
1,4,14
1,10,77
1,15,28
1,16,289
1,19,301
1,24,390
1,26,163
1,34,329
1,35,187
1,40,323
1,47,240
1,52,115
1,57,164
1,64,250
1,75,296
1,80,396
1,84,86
1,87,258
1,88,336
1,93,112
1,94,248
1,96,133
1,98,115
1,101,67
1,103,357
1,132,96
1,135,134
1,153,170
1,154,329
1,163,171
1,164,209
1,165,341
1,166,287
1,167,338
1,172,269
1,173,300
1,177,317
1,178,124
1,179,357
1,190,282
1,191,221
1,192,304
2,5,197
2,9,77
2,14,205
2,16,203
2,33,155
2,41,198
2,44,224
2,45,9
2,50,74
2,57,238
2,59,194
2,62,104
2,63,324
2,65,98
2,79,46
2,80,11
2,85,227
2,91,3
2,92,94
2,95,151
2,97,110
2,114,363
2,118,367
2,123,82
2,124,362
2,126,107
2,128,273
2,129,242
2,130,347
2,131,9
2,142,149
2,149,368
2,151,318
2,164,203
2,165,192
2,168,286
2,172,174
2,177,345
2,178,178
2,183,152
2,186,2
2,197,168
3,8,95
3,13,132
3,18,140
3,33,206
3,46,291
3,47,214
3,50,13
3,65,208
3,68,89
3,84,129
3,86,188
3,88,40
3,90,359
3,96,53
3,101,59
3,110,167
3,111,48
3,112,393
3,116,36
3,118,179
3,120,288
3,124,227
3,126,128
3,130,94
3,131,310
3,140,3
3,147,154
3,151,247
3,160,211
3,167,204
3,172,392
3,173,319
3,174,333
3,175,225
3,177,94
3,178,243
3,179,288
3,180,286
3,181,334
3,190,155
3,195,56
3,198,239
4,2,48
4,3,141
4,12,273
4,17,383
4,19,338
4,21,254
4,24,131
4,30,115
4,38,30
4,43,177
4,48,86
4,54,395
4,57,286
4,59,58
4,63,163
4,64,204
4,72,58
4,73,395
4,75,312
4,76,181
4,78,199
4,80,373
4,82,273
4,83,160
4,84,12
4,101,272
4,106,68
4,109,311
4,117,268
4,130,91
4,134,174
4,143,352
4,162,139
4,163,74
4,165,297
4,168,5
4,172,68
4,182,184
4,192,234
4,195,354
4,197,347
4,199,63
5,2,327
5,11,200
5,21,263
5,25,371
5,28,12
5,29,8
5,32,10
5,38,216
5,53,242
5,55,152
5,56,399
5,60,59
5,63,344
5,67,41
5,68,256
5,76,230
5,82,207
5,88,119
5,91,230
5,95,149
5,103,395
5,108,378
5,111,315
5,123,242
5,124,265
5,125,164
5,126,248
5,127,394
5,132,230
5,134,215
5,139,71
5,153,289
5,154,379
5,156,332
5,158,340
5,160,271
5,163,182
5,175,7
5,179,160
5,181,284
5,189,178
5,200,48
6,3,270
6,7,391
6,12,338
6,20,331
6,22,140
6,24,366
6,39,28
6,44,19
6,47,294
6,52,141
6,54,186
6,57,222
6,60,396
6,64,203
6,67,110
6,84,287
6,86,285
6,100,261
6,102,149
6,106,217
6,108,290
6,111,172
6,116,104
6,121,263
6,122,201
6,123,38
6,126,171
6,135,282
6,143,249
6,146,48
6,153,233
6,154,187
6,161,349
6,168,389
6,173,361
6,178,308
6,182,389
6,185,301
6,188,163
6,190,248
6,196,57
6,197,295
7,10,220
7,17,56
7,22,4
7,23,121
7,31,42
7,35,381
7,37,281
7,38,349
7,41,312
7,49,185
7,66,187
7,67,30
7,68,187
7,69,286
7,72,60
7,73,216
7,74,18
7,81,174
7,88,310
7,89,95
7,100,330
7,101,351
7,102,355
7,104,118
7,105,216
7,110,241
7,115,318
7,120,287
7,121,138
7,140,128
7,153,44
7,157,93
7,160,68
7,169,262
7,171,89
7,173,199
7,176,66
7,177,306
7,181,355
7,187,218
7,188,292
7,196,102
8,6,1
8,10,183
8,15,380
8,20,335
8,23,369
8,29,379
8,32,71
8,34,268
8,35,21
8,38,115
8,40,399
8,42,96
8,44,310
8,63,82
8,70,393
8,74,390
8,86,233
8,87,47
8,91,358
8,92,124
8,94,391
8,98,359
8,100,122
8,113,295
8,118,10
8,122,376
8,124,58
8,125,132
8,128,55
8,131,220
8,137,102
8,145,223
8,150,19
8,155,245
8,157,358
8,162,298
8,173,308
8,175,340
8,176,331
8,177,381
8,184,93
8,192,33
9,2,22
9,5,133
9,7,245
9,10,399
9,27,266
9,32,107
9,33,308
9,35,199
9,37,64
9,38,114
9,45,122
9,53,397
9,56,204
9,57,287
9,62,215
9,64,44
9,67,12
9,75,159
9,76,328
9,77,43
9,80,324
9,82,39
9,88,297
9,92,133
9,93,55
9,102,347
9,106,161
9,108,291
9,112,355
9,113,204
9,116,100
9,122,373
9,128,365
9,145,116
9,146,227
9,149,320
9,156,152
9,158,239
9,166,184
9,182,338
9,187,38
9,189,73
10,1,321
10,7,34
10,9,65
10,17,89
10,22,204
10,27,217
10,37,356
10,40,215
10,41,314
10,43,7
10,47,358
10,61,258
10,73,175
10,75,68
10,76,212
10,82,84
10,84,284
10,89,281
10,92,105
10,99,225
10,101,135
10,105,144
10,107,284
10,111,399
10,115,248
10,118,120
10,128,178
10,130,304
10,132,382
10,136,357
10,138,227
10,143,63
10,145,257
10,149,158
10,150,214
10,153,392
10,157,15
10,158,290
10,171,100
10,182,393
10,184,44
10,191,129
11,3,329
11,14,143
11,15,209
11,21,107
11,25,134
11,26,234
11,27,19
11,29,105
11,35,252
11,37,185
11,40,310
11,41,279
11,46,26
11,48,34
11,49,288
11,68,75
11,74,155
11,84,321
11,88,182
11,90,96
11,93,386
11,98,161
11,113,148
11,123,43
11,132,312
11,139,343
11,142,217
11,147,13
11,151,50
11,153,394
11,167,142
11,172,122
11,174,380
11,175,303
11,182,4
11,187,88
11,190,184
11,191,312
11,193,350
11,194,232
11,196,54
11,197,31
12,2,118
12,3,131
12,4,243
12,6,355
12,13,317
12,16,395
12,23,367
12,33,353
12,34,249
12,38,233
12,52,293
12,57,374
12,65,256
12,67,134
12,77,102
12,84,274
12,86,368
12,89,5
12,95,188
12,96,285
12,97,183
12,99,136
12,105,315
12,107,83
12,111,267
12,113,203
12,115,215
12,121,216
12,125,146
12,127,180
12,131,74
12,136,309
12,141,334
12,153,270
12,158,374
12,164,217
12,174,91
12,180,148
12,186,161
12,188,316
12,197,268
12,200,105
13,4,347
13,9,124
13,10,106
13,25,136
13,26,81
13,27,50
13,30,214
13,34,228
13,35,101
13,49,202
13,63,60
13,66,112
13,73,44
13,77,205
13,78,168
13,81,182
13,83,107
13,84,64
13,86,46
13,87,307
13,94,284
13,96,139
13,98,166
13,101,206
13,106,363
13,107,160
13,113,345
13,116,73
13,123,388
13,130,165
13,131,157
13,132,17
13,139,327
13,145,126
13,152,308
13,156,384
13,167,193
13,175,345
13,177,67
13,189,320
13,190,213
13,196,1
14,4,391
14,6,250
14,10,175
14,15,101
14,26,274
14,40,241
14,43,206
14,46,13
14,48,78
14,53,163
14,56,223
14,64,182
14,66,224
14,68,131
14,71,234
14,72,53
14,75,97
14,76,364
14,78,29
14,91,174
14,95,195
14,100,233
14,105,128
14,106,108
14,108,173
14,110,36
14,118,52
14,119,106
14,128,225
14,129,190
14,131,182
14,140,367
14,142,226
14,143,37
14,150,252
14,155,73
14,164,81
14,167,241
14,171,198
14,180,64
14,198,261
14,200,296
15,8,278
15,13,79
15,18,210
15,19,199
15,21,185
15,26,287
15,27,217
15,29,23
15,37,210
15,45,75
15,53,221
15,69,151
15,75,394
15,79,130
15,80,63
15,87,374
15,89,377
15,90,92
15,91,3
15,93,293
15,95,278
15,97,362
15,100,331
15,102,366
15,103,297
15,106,63
15,119,259
15,120,270
15,124,209
15,125,325
15,142,330
15,143,315
15,148,46
15,155,272
15,158,104
15,172,272
15,178,237
15,180,215
15,182,247
15,187,131
15,195,151
15,198,341
16,6,344
16,10,78
16,15,128
16,20,139
16,21,221
16,22,38
16,26,39
16,27,231
16,32,80
16,33,304
16,37,158
16,42,280
16,51,265
16,52,226
16,57,392
16,65,189
16,66,177
16,83,75
16,86,323
16,97,240
16,98,327
16,105,312
16,109,12
16,113,393
16,114,173
16,121,103
16,123,180
16,131,1
16,154,341
16,158,31
16,165,51
16,167,304
16,174,174
16,175,154
16,176,183
16,177,29
16,182,16
16,186,352
16,189,272
16,191,167
16,198,269
16,199,392
17,9,280
17,12,90
17,20,372
17,21,165
17,23,330
17,26,27
17,31,43
17,39,375
17,41,356
17,46,146
17,51,199
17,56,169
17,59,32
17,60,15
17,67,147
17,81,372
17,85,327
17,96,342
17,97,295
17,100,178
17,102,204
17,106,328
17,113,26
17,114,238
17,117,269
17,128,154
17,129,113
17,139,113
17,141,107
17,142,138
17,145,385
17,146,174
17,149,260
17,153,82
17,154,253
17,158,283
17,160,201
17,182,255
17,189,398
17,191,66
17,198,331
17,200,161
18,1,293
18,21,12
