Vertices,Density,Time taken(ms)
200,1,135
200,2,1829
200,3,3841
200,4,5163
200,5,5994
200,6,9835
200,7,8199
200,8,8763
200,9,9691
200,10,9853
200,11,11047
200,12,12646
200,13,12064
200,14,12937
200,15,13268
200,16,14455
200,17,14161
200,18,14483
200,19,15522
200,20,15642
200,21,15589
200,22,16377
200,23,16695
200,24,17948
200,25,17656
200,26,18747
200,27,18851
200,28,18999
200,29,20148
200,30,19373
200,31,20124
200,32,20887
200,33,19824
200,34,19887
200,35,20526
200,36,21305
200,37,22005
200,38,22772
200,39,22624
200,40,21944
200,41,21785
200,42,23733
200,43,22976
200,44,23538
200,45,23909
200,46,23704
200,47,24367
200,48,25066
200,49,24869
200,50,25302
200,51,24657
200,52,26075
200,53,26330
200,54,25891
200,55,26180
200,56,27087
200,57,26541
200,58,26991
200,59,28766
200,60,27227
200,61,27688
200,62,27012
200,63,27317
200,64,28024
200,65,27926
200,66,29093
200,67,29126
200,68,28250
200,69,29249
200,70,30768
200,71,29884
200,72,30071
200,73,30608
200,74,30893
200,75,31861
200,76,31417
200,77,30877
200,78,31655
200,79,31576
200,80,31516
200,81,31324
200,82,32207
200,83,32580
200,84,33055
200,85,33349
200,86,34013
200,87,34058
200,88,33909
200,89,35740
200,90,34133
200,91,33454
200,92,39882
200,93,34639
200,94,36169
200,95,35288
200,96,35643
200,97,35566
200,98,34608
200,99,38243
200,100,36085
200,101,35479
200,102,36251
200,103,37287
200,104,35833
200,105,36125
200,106,36979
200,107,37039
200,108,36953
200,109,38208
200,110,37737
200,111,37660
200,112,38521
200,113,38026
200,114,40233
200,115,39305
200,116,38380
200,117,38732
200,118,39815
200,119,38578
200,120,39593
200,121,38663
200,122,40556
200,123,39768
200,124,40245
200,125,40847
200,126,41294
200,127,41357
200,128,40354
200,129,40462
200,130,41658
200,131,41409
200,132,42084
200,133,40990
200,134,42275
200,135,41651
200,136,42455
200,137,42247
200,138,42793
200,139,42674
200,140,42867
200,141,43610
200,142,43150
200,143,43550
200,144,45220
200,145,44100
200,146,44114
200,147,42548
200,148,44774
200,149,44195
200,150,42894
200,151,46189
200,152,44613
200,153,45976
200,154,44941
200,155,45477
200,156,45608
200,157,46634
200,158,46689
200,159,45445
200,160,46266
200,161,46439
200,162,46205
200,163,47329
200,164,49157
200,165,47889
200,166,47942
200,167,48907
200,168,48451
200,169,47853
200,170,46752
200,171,46840
200,172,48223
200,173,48674
200,174,48483
200,175,48334
200,176,49287
200,177,49704
200,178,48680
200,179,49423
200,180,49198
200,181,54171
200,182,49089
200,183,50655
200,184,50819
200,185,50331
200,186,55017
200,187,49885
200,188,49778
200,189,50977
200,190,52063
200,191,58166
200,192,52175
200,193,52132
200,194,52064
200,195,51134
200,196,51536
200,197,52679
200,198,52484
200,199,53077
200,200,52786
