Vertices,Density,Time taken(ms)
1,10,5
2,10,10
3,10,18
4,10,21
5,10,30
6,10,37
7,10,42
8,10,65
9,10,78
10,10,67
11,10,107
12,10,104
13,10,321
14,10,111
15,10,107
16,10,122
17,10,132
18,10,148
19,10,150
20,10,172
21,10,169
22,10,176
23,10,190
24,10,202
25,10,242
26,10,238
27,10,211
28,10,223
29,10,278
30,10,258
31,10,244
32,10,253
33,10,289
34,10,307
35,10,304
36,10,366
37,10,328
38,10,324
39,10,369
40,10,361
41,10,354
42,10,404
43,10,407
44,10,420
45,10,405
46,10,424
47,10,435
48,10,467
49,10,661
50,10,498
51,10,1528
52,10,538
53,10,547
54,10,502
55,10,636
56,10,541
57,10,676
58,10,636
59,10,598
60,10,557
61,10,616
62,10,629
63,10,619
64,10,689
65,10,687
66,10,698
67,10,659
68,10,661
69,10,732
70,10,777
71,10,1795
72,10,764
73,10,805
74,10,790
75,10,852
76,10,820
77,10,787
78,10,842
79,10,826
80,10,868
81,10,842
82,10,839
83,10,859
84,10,950
85,10,1326
86,10,930
87,10,985
88,10,1602
89,10,1021
90,10,1204
91,10,1014
92,10,1162
93,10,1042
94,10,1114
95,10,1047
96,10,1107
97,10,1092
98,10,1101
99,10,1083
100,10,1193
101,10,1216
102,10,1167
103,10,1171
104,10,1228
105,10,1209
106,10,1453
107,10,1200
108,10,1268
109,10,1270
110,10,1260
111,10,1288
112,10,1279
113,10,1281
114,10,1644
115,10,1468
116,10,1345
117,10,1446
118,10,1554
119,10,1397
120,10,1443
121,10,1430
122,10,1429
123,10,1458
124,10,1566
125,10,1433
126,10,1572
127,10,1506
128,10,1609
129,10,1817
130,10,1611
131,10,1736
132,10,1852
133,10,1708
134,10,1640
135,10,1728
136,10,1810
137,10,1882
138,10,2372
139,10,1782
140,10,2250
141,10,2122
142,10,1829
143,10,2194
144,10,1963
145,10,1954
146,10,1925
147,10,1989
148,10,1947
149,10,2040
150,10,1992
151,10,1924
152,10,2159
153,10,1988
154,10,2034
155,10,2034
156,10,2036
157,10,2167
158,10,2108
159,10,2336
160,10,2170
161,10,2149
162,10,2346
163,10,2345
164,10,2289
165,10,2254
166,10,2743
167,10,2453
168,10,2747
169,10,2300
170,10,2482
171,10,2384
172,10,2407
173,10,2430
174,10,2401
175,10,2439
176,10,2545
177,10,2545
178,10,2499
179,10,2687
180,10,2841
181,10,2545
182,10,2644
183,10,2638
184,10,2661
185,10,2667
186,10,2683
187,10,2761
188,10,2704
189,10,2803
190,10,2863
191,10,2822
192,10,3335
193,10,2855
194,10,3325
195,10,3584
196,10,3260
197,10,3027
198,10,2997
199,10,2987
200,10,3082
201,10,3344
202,10,2986
203,10,3146
204,10,3170
205,10,3232
206,10,3105
207,10,3645
208,10,3247
209,10,3143
210,10,3496
211,10,3314
212,10,3341
213,10,3320
214,10,3494
215,10,3438
216,10,3376
217,10,3507
218,10,3567
219,10,3450
220,10,3409
221,10,3622
222,10,3579
223,10,3534
224,10,3504
225,10,3668
226,10,3956
227,10,3676
228,10,3642
229,10,3621
230,10,3680
231,10,3635
232,10,3628
233,10,3661
234,10,3735
235,10,3895
236,10,3832
237,10,3863
238,10,3719
239,10,3991
240,10,4022
241,10,3760
242,10,4274
243,10,4185
244,10,3774
245,10,5017
246,10,4591
247,10,4160
248,10,4068
249,10,4382
250,10,4886
251,10,4345
252,10,4557
253,10,4206
254,10,4227
255,10,4350
256,10,4115
257,10,4422
258,10,4581
259,10,4560
260,10,5153
261,10,4563
262,10,4500
263,10,4706
264,10,4757
265,10,5505
266,10,5308
267,10,4688
268,10,4900
269,10,4958
270,10,4561
271,10,4772
272,10,4964
273,10,4718
274,10,4951
275,10,4746
276,10,4881
277,10,5085
278,10,5181
279,10,4791
280,10,5046
281,10,5062
282,10,5125
283,10,4940
284,10,5087
285,10,5255
286,10,5189
287,10,4978
288,10,5473
289,10,5259
290,10,5602
291,10,6066
292,10,5547
293,10,5414
294,10,5349
295,10,5561
296,10,5514
297,10,5645
298,10,5625
299,10,5687
300,10,5754
