Vertices,Density,Time taken(ms)
1,300,3
2,300,8
3,300,13
4,300,19
5,300,26
6,300,35
7,300,39
8,300,48
9,300,55
10,300,69
11,300,77
12,300,91
13,300,99
14,300,139
15,300,127
16,300,138
17,300,156
18,300,180
19,300,202
20,300,205
21,300,248
22,300,234
23,300,251
24,300,300
25,300,297
26,300,324
27,300,343
28,300,359
29,300,387
30,300,418
31,300,447
32,300,459
33,300,499
34,300,548
35,300,538
36,300,1705
37,300,599
38,300,641
39,300,1701
40,300,731
41,300,1764
42,300,778
43,300,803
44,300,824
45,300,1691
46,300,939
47,300,1277
48,300,978
49,300,1049
50,300,1242
51,300,1050
52,300,1146
53,300,1474
54,300,1190
55,300,1621
56,300,1241
57,300,1626
58,300,1370
59,300,1422
60,300,1448
61,300,1485
62,300,1726
63,300,1655
64,300,1690
65,300,1910
66,300,2258
67,300,2436
68,300,1866
69,300,2235
70,300,2380
71,300,2082
72,300,2079
73,300,2227
74,300,2201
75,300,2294
76,300,2301
77,300,2308
78,300,2378
79,300,2439
80,300,2998
81,300,2784
82,300,3056
83,300,2797
84,300,2860
85,300,2778
86,300,2988
87,300,3665
88,300,3243
89,300,3057
90,300,3182
91,300,3325
92,300,3447
93,300,3865
94,300,3570
95,300,3489
96,300,3659
97,300,3718
98,300,3728
99,300,4643
100,300,4165
101,300,4132
102,300,4481
103,300,4509
104,300,4139
105,300,4354
106,300,4387
107,300,4584
108,300,4740
109,300,5213
110,300,4816
111,300,5229
112,300,4990
113,300,5565
114,300,5348
115,300,5795
116,300,5452
117,300,5398
118,300,5466
119,300,5440
120,300,5577
121,300,5726
122,300,6259
123,300,5784
124,300,6409
125,300,5980
126,300,6141
127,300,6189
128,300,7724
129,300,7362
130,300,7193
131,300,7128
132,300,7060
133,300,8113
134,300,7753
135,300,7117
136,300,7352
137,300,8090
138,300,7904
139,300,7562
140,300,7527
141,300,7453
142,300,7643
143,300,8617
144,300,8134
145,300,7978
146,300,8353
147,300,8308
148,300,8427
149,300,9560
150,300,8534
151,300,10452
152,300,8941
153,300,9208
154,300,9789
155,300,9345
156,300,10464
157,300,9511
158,300,9891
159,300,9525
160,300,10389
161,300,10314
162,300,12230
163,300,10288
164,300,10292
165,300,10507
166,300,11143
167,300,12068
168,300,12217
169,300,11981
170,300,11339
171,300,11684
172,300,11166
173,300,12099
174,300,11638
175,300,14750
176,300,12974
177,300,12173
178,300,12169
179,300,12121
180,300,14167
181,300,12766
182,300,13548
183,300,12910
184,300,12635
185,300,14161
186,300,14629
187,300,14368
188,300,13908
189,300,15616
190,300,13868
191,300,15071
192,300,16627
193,300,16102
194,300,14581
195,300,15623
196,300,15784
197,300,16772
198,300,16735
199,300,16672
200,300,15220
201,300,15430
202,300,16508
203,300,16050
204,300,19569
205,300,15995
206,300,17111
207,300,17530
208,300,16387
209,300,20630
210,300,19686
211,300,17104
212,300,17732
213,300,19121
214,300,17629
215,300,17468
216,300,19895
217,300,19435
218,300,19088
219,300,21849
220,300,18462
221,300,21097
222,300,22820
223,300,19306
224,300,21350
225,300,20283
226,300,21223
227,300,19503
228,300,23056
229,300,21612
230,300,20088
231,300,21252
232,300,20576
233,300,22918
234,300,22560
235,300,23808
236,300,25369
237,300,22764
238,300,24730
239,300,22651
240,300,21971
241,300,25968
242,300,24996
243,300,24627
244,300,24568
245,300,23909
246,300,23584
247,300,26148
248,300,28260
249,300,26283
250,300,25007
251,300,26922
252,300,26747
253,300,25003
254,300,28605
255,300,27990
256,300,27278
257,300,25971
258,300,25791
259,300,26180
260,300,28042
261,300,29169
262,300,26475
263,300,29986
264,300,27935
265,300,30032
266,300,31096
267,300,29893
268,300,30033
269,300,31155
270,300,33472
271,300,32130
272,300,32021
273,300,34169
274,300,29794
275,300,32436
276,300,30630
277,300,33065
278,300,32960
279,300,31215
280,300,33478
281,300,33486
282,300,30814
283,300,34386
284,300,32826
285,300,34553
286,300,32810
287,300,32947
288,300,33140
289,300,36598
290,300,35335
291,300,34038
292,300,36069
293,300,32803
294,300,38094
295,300,37155
296,300,35640
297,300,34662
298,300,40163
299,300,37924
300,300,37161
