Vertices,Density,Time taken(ms)
1,1,4
2,2,9
3,3,17
4,4,27
5,5,33
6,6,42
7,7,50
8,8,62
9,9,77
10,10,106
11,11,95
12,12,113
13,13,132
14,14,142
15,15,154
16,16,197
17,17,180
18,18,206
19,19,237
20,20,261
21,21,278
22,22,352
23,23,292
24,24,317
25,25,366
26,26,362
27,27,381
28,28,388
29,29,449
30,30,493
31,31,462
32,32,481
33,33,573
34,34,577
35,35,575
36,36,605
37,37,624
38,38,678
39,39,695
40,40,727
41,41,775
42,42,781
43,43,852
44,44,935
45,45,877
46,46,887
47,47,943
48,48,989
49,49,999
50,50,1114
51,51,1126
52,52,1145
53,53,1175
54,54,1239
55,55,1258
56,56,1236
57,57,1256
58,58,1351
59,59,1414
60,60,1426
61,61,1443
62,62,1523
63,63,1556
64,64,1607
65,65,1602
66,66,1682
67,67,1707
68,68,1750
69,69,1795
70,70,1874
71,71,1928
72,72,1997
73,73,1986
74,74,2044
75,75,2071
76,76,2146
77,77,2214
78,78,2201
79,79,2337
80,80,2415
81,81,2439
82,82,2529
83,83,2512
84,84,2559
85,85,2692
86,86,2658
87,87,2727
88,88,2802
89,89,2822
90,90,2934
91,91,2875
92,92,3022
93,93,3075
94,94,3118
95,95,3113
96,96,3322
97,97,3206
98,98,3411
99,99,3482
100,100,3668
101,101,3479
102,102,3607
103,103,3706
104,104,3791
105,105,3759
106,106,3923
107,107,3956
108,108,4115
109,109,4102
110,110,4130
111,111,4213
112,112,4333
113,113,4346
114,114,4403
115,115,4819
116,116,4502
117,117,4508
118,118,4539
119,119,4746
120,120,4810
121,121,4792
122,122,5719
123,123,5124
124,124,5001
125,125,5147
126,126,5742
127,127,5410
128,128,5258
129,129,5433
130,130,5570
131,131,5564
132,132,5581
133,133,5647
134,134,5848
135,135,5866
136,136,6112
137,137,6191
138,138,6357
139,139,6382
140,140,6439
141,141,6389
142,142,6497
143,143,6534
144,144,7010
145,145,6837
146,146,6834
147,147,6985
148,148,7134
149,149,7086
150,150,7125
151,151,7245
152,152,7876
153,153,7668
154,154,7572
155,155,7611
156,156,7766
157,157,8014
158,158,7999
159,159,8386
160,160,8231
161,161,8297
162,162,8232
163,163,8522
164,164,8458
165,165,8461
166,166,8768
167,167,8705
168,168,8884
169,169,8985
170,170,8993
171,171,9414
172,172,9578
173,173,9480
174,174,9499
175,175,9590
176,176,9753
177,177,10282
178,178,10439
179,179,10626
180,180,10679
181,181,10398
182,182,10344
183,183,10649
184,184,10766
185,185,10661
186,186,11138
187,187,10774
188,188,11033
189,189,11671
190,190,12930
191,191,11797
192,192,11120
193,193,11384
194,194,11587
195,195,11775
196,196,11851
197,197,12057
198,198,12068
199,199,12260
200,200,12243
201,201,12253
202,202,12965
203,203,12622
204,204,12798
205,205,12782
206,206,12922
207,207,13076
208,208,13161
209,209,13334
210,210,13297
211,211,13736
212,212,13777
213,213,13729
214,214,13960
215,215,14067
216,216,14556
217,217,14353
218,218,14572
219,219,14328
220,220,15042
221,221,14887
222,222,15006
223,223,15109
224,224,15304
225,225,15095
226,226,15721
227,227,15608
228,228,15682
229,229,15981
230,230,15934
231,231,16312
232,232,16389
233,233,16786
234,234,16479
235,235,16625
236,236,17867
237,237,16945
238,238,17438
239,239,17347
240,240,17274
241,241,17618
242,242,17849
243,243,17518
244,244,17744
245,245,18098
246,246,18005
247,247,18509
248,248,18815
249,249,18736
250,250,18906
251,251,18956
252,252,19107
253,253,19100
254,254,19358
255,255,19452
256,256,19661
257,257,19629
258,258,19949
259,259,19820
260,260,20051
261,261,20468
262,262,20970
263,263,20787
264,264,21138
265,265,21073
266,266,21441
267,267,22258
268,268,21344
269,269,22042
270,270,21858
271,271,21817
272,272,21857
273,273,22170
274,274,22486
275,275,22206
276,276,23136
277,277,22856
278,278,22989
279,279,23536
280,280,23387
281,281,24169
282,282,23414
283,283,23647
284,284,24067
285,285,24158
286,286,24545
287,287,24638
288,288,25023
289,289,24750
290,290,25234
291,291,25984
292,292,25100
293,293,25512
294,294,25659
295,295,25559
296,296,28418
297,297,27016
298,298,26397
299,299,27140
300,300,26616
