Vertices,Density,Time taken(ms)
1,1,6
2,2,14
3,3,15
4,4,20
5,5,26
6,6,31
7,7,36
8,8,41
9,9,49
10,10,70
11,11,78
12,12,75
13,13,80
14,14,98
15,15,87
16,16,105
17,17,101
18,18,106
19,19,117
20,20,129
21,21,132
22,22,145
23,23,156
24,24,153
25,25,161
26,26,171
27,27,193
28,28,254
29,29,216
30,30,214
31,31,219
32,32,240
33,33,294
34,34,249
35,35,281
36,36,380
37,37,308
38,38,314
39,39,309
40,40,329
41,41,358
42,42,332
43,43,371
44,44,346
45,45,366
46,46,379
47,47,387
48,48,422
49,49,428
50,50,435
51,51,445
52,52,449
53,53,502
54,54,487
55,55,513
56,56,487
57,57,604
58,58,537
59,59,554
60,60,609
61,61,549
62,62,620
63,63,616
64,64,617
65,65,654
66,66,633
67,67,652
68,68,693
69,69,755
70,70,725
71,71,704
72,72,743
73,73,1132
74,74,793
75,75,775
76,76,811
77,77,825
78,78,836
79,79,895
80,80,901
81,81,915
82,82,903
83,83,939
84,84,979
85,85,991
86,86,991
87,87,1015
88,88,991
89,89,1085
90,90,1125
91,91,1105
92,92,1230
93,93,1125
94,94,1217
95,95,1189
96,96,1182
97,97,1253
98,98,1274
99,99,1231
100,100,1253
101,101,1317
102,102,1328
103,103,1406
104,104,1323
105,105,1425
106,106,1429
107,107,2064
108,108,1520
109,109,1512
110,110,1521
111,111,1584
112,112,1580
113,113,1587
114,114,1570
115,115,1585
116,116,1656
117,117,1685
118,118,1603
119,119,1731
120,120,1765
121,121,1772
122,122,1802
123,123,1843
124,124,1857
125,125,1829
126,126,1970
127,127,1840
128,128,1995
129,129,2110
130,130,2003
131,131,2151
132,132,2120
133,133,2033
134,134,2112
135,135,2210
136,136,2095
137,137,2169
138,138,2250
139,139,2311
140,140,2415
141,141,2300
142,142,2357
143,143,2518
144,144,2442
145,145,2467
146,146,2522
147,147,2503
148,148,2463
149,149,2538
150,150,2525
151,151,2553
152,152,2656
153,153,2662
154,154,3469
155,155,2712
156,156,2815
157,157,2783
158,158,2991
159,159,2801
160,160,2908
161,161,2895
162,162,3034
163,163,2997
164,164,3178
165,165,3436
166,166,3153
167,167,3130
168,168,3162
169,169,3210
170,170,3222
171,171,3390
172,172,3334
173,173,3612
174,174,3366
175,175,3466
176,176,3392
177,177,3616
178,178,3428
179,179,3564
180,180,3555
181,181,3685
182,182,3614
183,183,3756
184,184,3811
185,185,3891
186,186,3818
187,187,4025
188,188,3891
189,189,3931
190,190,3861
191,191,4051
192,192,3902
193,193,4080
194,194,4103
195,195,4292
196,196,4299
197,197,4188
198,198,4262
199,199,4435
200,200,4133
201,201,4552
202,202,4541
203,203,4635
204,204,4413
205,205,4633
206,206,4636
207,207,4761
208,208,4875
209,209,4776
210,210,4913
211,211,4757
212,212,4909
213,213,4968
214,214,4952
215,215,5184
216,216,4818
217,217,5309
218,218,5125
219,219,5228
220,220,6678
221,221,5380
222,222,5532
223,223,5520
224,224,5474
225,225,5263
226,226,5489
227,227,5489
228,228,5821
229,229,5822
230,230,5601
231,231,5933
232,232,5944
233,233,5707
234,234,6024
235,235,6029
236,236,6460
237,237,6143
238,238,6401
239,239,6705
240,240,6990
241,241,6541
242,242,6458
243,243,6700
244,244,6303
245,245,6525
246,246,6583
247,247,6610
248,248,6647
249,249,6746
250,250,6737
251,251,7151
252,252,6685
253,253,7935
254,254,7867
255,255,7170
256,256,7184
257,257,7321
258,258,7376
259,259,7430
260,260,7227
261,261,7327
262,262,7215
263,263,7229
264,264,7252
265,265,7795
266,266,7583
267,267,7397
268,268,7814
269,269,8267
270,270,7673
271,271,7876
272,272,8052
273,273,8386
274,274,8089
275,275,8047
276,276,8472
277,277,8476
278,278,8100
279,279,8535
280,280,8618
281,281,8509
282,282,8403
283,283,8471
284,284,8563
285,285,8865
286,286,8945
287,287,8808
288,288,8750
289,289,8721
290,290,9374
291,291,8973
292,292,9168
293,293,8967
294,294,9793
295,295,9342
296,296,9558
297,297,9416
298,298,9592
299,299,9297
300,300,10746
