Vertices,Density,Time taken(ms)
100,1,1461
100,2,1652
100,3,2529
100,4,1717
100,5,2005
100,6,1904
100,7,1918
100,8,2742
100,9,2033
100,10,1966
100,11,2022
100,12,2037
100,13,2071
100,14,2122
100,15,2814
100,16,2695
100,17,2215
100,18,2258
100,19,2230
100,20,2329
100,21,2328
100,22,2544
100,23,2920
100,24,2741
100,25,2456
100,26,2470
100,27,2554
100,28,2534
100,29,2692
100,30,2628
100,31,2607
100,32,2891
100,33,2777
100,34,2724
100,35,3131
100,36,3485
100,37,3152
100,38,2923
100,39,2869
100,40,2815
100,41,2880
100,42,2947
100,43,2959
100,44,2956
100,45,2929
100,46,3068
100,47,3037
100,48,3639
100,49,3188
100,50,3090
100,51,3425
100,52,3098
100,53,3620
100,54,3193
100,55,3201
100,56,3281
100,57,3249
100,58,3242
100,59,3268
100,60,3327
100,61,3228
100,62,3278
100,63,3793
100,64,3877
100,65,3415
100,66,3413
100,67,3477
100,68,3906
100,69,3378
100,70,3357
100,71,3543
100,72,3677
100,73,3547
100,74,3933
100,75,3818
100,76,3758
100,77,3949
100,78,4025
100,79,3561
100,80,3562
100,81,3596
100,82,3573
100,83,3645
100,84,3717
100,85,3782
100,86,3762
100,87,3758
100,88,3643
100,89,3681
100,90,3667
100,91,4391
100,92,4031
100,93,4632
100,94,3841
100,95,4636
100,96,3811
100,97,3874
100,98,4010
100,99,4010
100,100,4090
