Vertices,Density,Time taken(ms)
1,200,16
2,200,30
3,200,46
4,200,61
5,200,93
6,200,96
7,200,112
8,200,126
9,200,171
10,200,170
11,200,194
12,200,222
13,200,226
14,200,246
15,200,290
16,200,309
17,200,348
18,200,429
19,200,374
20,200,394
21,200,622
22,200,458
23,200,1642
24,200,548
25,200,557
26,200,559
27,200,612
28,200,602
29,200,689
30,200,683
31,200,693
32,200,759
33,200,781
34,200,863
35,200,849
36,200,925
37,200,968
38,200,988
39,200,1017
40,200,1098
41,200,1119
42,200,1145
43,200,1168
44,200,1190
45,200,1263
46,200,1272
47,200,1311
48,200,1430
49,200,1478
50,200,2430
51,200,1512
52,200,1499
53,200,1595
54,200,1672
55,200,1735
56,200,1754
57,200,1907
58,200,1928
59,200,2919
60,200,2024
61,200,3124
62,200,2928
63,200,2686
64,200,2739
65,200,2624
66,200,2281
67,200,2381
68,200,2372
69,200,2623
70,200,2577
71,200,2645
72,200,2828
73,200,2793
74,200,3321
75,200,2794
76,200,3092
77,200,2997
78,200,2990
79,200,3043
80,200,3131
81,200,3277
82,200,3617
83,200,3712
84,200,4122
85,200,3816
86,200,3661
87,200,3630
88,200,3997
89,200,3940
90,200,4075
91,200,4125
92,200,3967
93,200,4546
94,200,4380
95,200,4295
96,200,4938
97,200,4918
98,200,5083
99,200,4675
100,200,4892
101,200,5011
102,200,4763
103,200,5671
104,200,5056
105,200,5039
106,200,6276
107,200,5616
108,200,5600
109,200,5899
110,200,5691
111,200,5587
112,200,6024
113,200,6359
114,200,6390
115,200,6275
116,200,6130
117,200,6068
118,200,6504
119,200,6854
120,200,6485
121,200,6870
122,200,6436
123,200,6914
124,200,6876
125,200,7451
126,200,7361
127,200,7687
128,200,7338
129,200,7618
130,200,7532
131,200,7805
132,200,7853
133,200,10213
134,200,8080
135,200,8691
136,200,8204
137,200,9278
138,200,8300
139,200,8239
140,200,8827
141,200,8393
142,200,10095
143,200,9002
144,200,9707
145,200,8919
146,200,9064
147,200,10481
148,200,9780
149,200,10463
150,200,12372
151,200,10615
152,200,9807
153,200,10089
154,200,11520
155,200,11016
156,200,10702
157,200,11623
158,200,10984
159,200,11271
160,200,11872
161,200,11626
162,200,11103
163,200,11637
164,200,12232
165,200,11881
166,200,13706
167,200,12419
168,200,12613
169,200,11994
170,200,12382
171,200,13197
172,200,15159
173,200,13031
174,200,13547
175,200,14413
176,200,13973
177,200,14526
178,200,13329
179,200,15332
180,200,15248
181,200,14105
182,200,14669
183,200,14608
184,200,14413
185,200,15135
186,200,14913
187,200,16951
188,200,15958
189,200,16271
190,200,16412
191,200,15481
192,200,16807
193,200,16415
194,200,15872
195,200,17712
196,200,17921
197,200,18049
198,200,15893
199,200,17542
200,200,16782
201,200,18507
202,200,17896
203,200,19370
204,200,18096
205,200,17544
206,200,19952
207,200,17838
208,200,20282
209,200,19015
210,200,19187
211,200,17974
212,200,19653
213,200,19395
214,200,20588
215,200,18951
216,200,19437
217,200,18749
218,200,20916
219,200,19918
220,200,21301
221,200,19616
222,200,22726
223,200,20908
224,200,21434
225,200,23058
226,200,20911
227,200,20675
228,200,20837
229,200,22417
230,200,22757
231,200,21958
232,200,22276
233,200,21700
234,200,22237
235,200,21475
236,200,23476
237,200,23199
238,200,23685
239,200,22263
240,200,21669
241,200,22783
242,200,23384
243,200,22857
244,200,23307
245,200,24687
246,200,22808
247,200,24480
248,200,27321
249,200,24471
250,200,25229
251,200,24806
252,200,23938
253,200,25375
254,200,25752
255,200,26058
256,200,26012
257,200,25203
258,200,24274
259,200,23922
260,200,24964
261,200,26477
262,200,25126
263,200,28886
264,200,26094
265,200,26656
266,200,25620
267,200,28990
