Vertices,Density,Time taken(ms)
1,50,4
2,50,11
3,50,17
4,50,26
5,50,29
6,50,41
7,50,81
8,50,50
9,50,63
10,50,77
11,50,92
12,50,150
13,50,124
14,50,140
15,50,146
16,50,139
17,50,169
18,50,207
19,50,267
20,50,279
21,50,325
22,50,247
23,50,291
24,50,330
25,50,315
26,50,388
27,50,464
28,50,424
29,50,544
30,50,448
31,50,628
32,50,469
33,50,637
34,50,635
35,50,597
36,50,676
37,50,723
38,50,755
39,50,860
40,50,868
41,50,1313
42,50,898
43,50,995
44,50,1037
45,50,968
46,50,968
47,50,1272
48,50,1087
49,50,1221
50,50,1193
51,50,1175
52,50,1331
53,50,1414
54,50,1403
55,50,1428
56,50,1438
57,50,1508
58,50,2054
59,50,1779
60,50,1686
61,50,1719
62,50,1725
63,50,1770
64,50,1853
65,50,1997
66,50,2034
67,50,2012
68,50,2251
69,50,2090
70,50,2273
71,50,2276
72,50,2255
73,50,2337
74,50,2698
75,50,2627
76,50,2273
77,50,2616
78,50,2422
79,50,2321
80,50,2528
81,50,2604
82,50,2736
83,50,2650
84,50,2885
85,50,2939
86,50,2976
87,50,2995
88,50,3410
89,50,3090
90,50,3223
91,50,3365
92,50,3100
93,50,3512
94,50,3671
95,50,3255
96,50,3758
97,50,3433
98,50,3712
99,50,3616
100,50,3300
101,50,3653
102,50,3824
103,50,3947
104,50,4115
105,50,3858
106,50,3980
107,50,4129
108,50,4230
109,50,4129
110,50,4216
111,50,4474
112,50,4476
113,50,4381
114,50,4654
115,50,4508
116,50,4586
117,50,4547
118,50,4643
119,50,4725
120,50,4970
121,50,4830
122,50,5301
123,50,5166
124,50,5548
125,50,5139
126,50,5476
127,50,5222
128,50,5480
129,50,5751
130,50,5431
131,50,5675
132,50,5587
133,50,5570
134,50,5897
135,50,5820
136,50,5712
137,50,6190
138,50,6098
139,50,6199
140,50,6476
141,50,6894
142,50,6569
143,50,7529
144,50,6590
145,50,6561
146,50,6877
147,50,6990
148,50,7009
149,50,7146
150,50,6986
151,50,6887
152,50,7249
153,50,7519
154,50,7068
155,50,7099
156,50,7396
157,50,7808
158,50,7830
159,50,8381
160,50,7886
161,50,8360
162,50,8014
163,50,8143
164,50,8104
165,50,8200
166,50,8363
167,50,8317
168,50,8405
169,50,8745
170,50,8755
171,50,8964
172,50,9156
173,50,9043
174,50,8746
175,50,8717
176,50,9629
177,50,9546
178,50,9462
179,50,9444
180,50,11484
181,50,9839
182,50,10095
183,50,9929
184,50,9695
185,50,10259
186,50,9988
187,50,10073
188,50,10753
189,50,10241
190,50,10600
191,50,10509
192,50,10598
193,50,10826
194,50,10740
195,50,10829
196,50,10753
197,50,11326
198,50,11703
199,50,11420
200,50,11283
201,50,12064
202,50,11587
203,50,11930
204,50,11945
205,50,12258
206,50,12405
207,50,11792
208,50,13014
209,50,12729
210,50,12602
211,50,12818
212,50,13222
213,50,12654
214,50,12783
215,50,14763
216,50,13596
217,50,13455
218,50,13151
219,50,13017
220,50,13673
221,50,13929
222,50,14518
223,50,13705
224,50,13592
225,50,14278
226,50,13693
227,50,14633
228,50,14767
229,50,14181
230,50,14440
231,50,14380
232,50,14664
233,50,15455
234,50,15225
235,50,15367
236,50,15371
237,50,15728
238,50,15601
239,50,15929
240,50,15520
241,50,15710
242,50,15926
243,50,16218
244,50,15878
245,50,15625
246,50,16445
247,50,16805
248,50,17161
249,50,16429
250,50,16254
251,50,17387
252,50,18719
253,50,16988
254,50,17448
255,50,17764
256,50,17514
257,50,17607
258,50,18443
259,50,17452
260,50,17680
261,50,17819
262,50,17838
263,50,18332
264,50,18413
265,50,19271
266,50,18218
267,50,19116
268,50,18388
269,50,18359
270,50,18745
271,50,18326
272,50,19182
273,50,19692
274,50,19064
275,50,18506
276,50,19003
277,50,19642
278,50,20103
279,50,21460
280,50,20073
281,50,20672
282,50,19585
283,50,19266
284,50,20351
285,50,20925
286,50,21127
287,50,20046
288,50,20926
289,50,22644
290,50,21408
291,50,21595
292,50,21989
293,50,22137
294,50,22111
295,50,21888
296,50,23082
297,50,22866
298,50,22953
299,50,23789
300,50,23112
301,50,23729
302,50,23814
303,50,24140
304,50,24640
305,50,24043
306,50,26598
307,50,27024
308,50,26959
309,50,26086
310,50,26411
311,50,26457
312,50,25916
313,50,25008
314,50,25939
315,50,25689
316,50,26115
317,50,26751
318,50,26801
319,50,26839
320,50,27449
321,50,28290
322,50,27047
323,50,28906
324,50,27167
325,50,26899
326,50,28113
327,50,28684
328,50,28649
329,50,28564
330,50,28548
331,50,31355
332,50,29288
333,50,29635
334,50,29820
335,50,29163
336,50,29010
337,50,30227
338,50,29329
339,50,29199
340,50,29970
341,50,30028
342,50,31576
343,50,29393
344,50,29596
345,50,29853
346,50,29585
347,50,30146
348,50,30790
349,50,30565
350,50,31312
351,50,30703
352,50,30691
353,50,31342
354,50,31078
355,50,31734
356,50,31681
357,50,32544
358,50,31900
359,50,31943
360,50,32290
361,50,32338
362,50,33477
363,50,32851
364,50,32756
365,50,32845
366,50,33348
367,50,33834
368,50,33161
369,50,33714
370,50,34699
371,50,33193
372,50,35144
373,50,34764
374,50,36386
375,50,35337
376,50,34365
377,50,35449
378,50,34885
379,50,36153
380,50,36629
381,50,35852
382,50,35919
383,50,35832
384,50,35948
385,50,37569
386,50,37033
387,50,36896
388,50,38650
389,50,37503
390,50,38041
391,50,38910
392,50,40078
393,50,39029
394,50,40758
395,50,40422
396,50,41083
397,50,40200
398,50,39900
399,50,40784
400,50,41017
401,50,40333
402,50,42002
403,50,43126
404,50,42619
405,50,44741
406,50,42957
407,50,41632
408,50,40748
409,50,41430
410,50,40445
411,50,42200
412,50,41368
413,50,41720
414,50,42133
415,50,45604
416,50,44551
417,50,43229
418,50,43236
419,50,44119
420,50,44782
421,50,44785
422,50,45761
423,50,44211
424,50,46608
425,50,44724
426,50,44521
427,50,44602
428,50,45140
429,50,44625
430,50,45137
431,50,46898
432,50,46735
433,50,48509
434,50,49126
435,50,48227
436,50,50554
437,50,49464
438,50,49412
439,50,47954
440,50,49097
441,50,50751
442,50,48874
443,50,48327
444,50,49937
445,50,48135
446,50,49608
447,50,48241
448,50,48652
449,50,48004
450,50,48888
451,50,50710
452,50,50398
453,50,51670
454,50,51417
455,50,52319
456,50,53387
457,50,53997
458,50,51603
459,50,52031
460,50,53190
461,50,53140
462,50,52792
463,50,53781
464,50,53143
465,50,55895
466,50,55849
467,50,55075
468,50,54908
469,50,54196
470,50,52899
471,50,54234
472,50,54685
473,50,53639
474,50,52849
475,50,53299
476,50,52689
477,50,54479
478,50,54146
479,50,54116
480,50,55735
481,50,54960
482,50,55264
483,50,67993
484,50,61802
485,50,65761
486,50,60223
487,50,58833
488,50,57101
489,50,57789
490,50,56836
491,50,60409
492,50,59273
493,50,58692
494,50,57995
495,50,57715
496,50,59157
497,50,58223
498,50,58197
499,50,60987
500,50,60045
