Vertices,Density,Time taken(ms)
1,1,3
2,2,14
3,3,14
4,4,19
5,5,26
6,6,32
7,7,43
8,8,48
9,9,60
10,10,73
11,11,76
12,12,85
13,13,190
14,14,115
15,15,135
16,16,141
17,17,153
18,18,163
19,19,200
20,20,210
21,21,217
22,22,228
23,23,327
24,24,271
25,25,289
26,26,347
27,27,334
28,28,378
29,29,397
30,30,418
31,31,466
32,32,479
33,33,513
34,34,509
35,35,693
36,36,571
37,37,602
38,38,1824
39,39,665
40,40,696
41,41,705
42,42,909
43,43,855
44,44,900
45,45,1081
46,46,915
47,47,927
48,48,976
49,49,974
50,50,1029
51,51,1103
52,52,1117
53,53,1196
54,54,1194
55,55,1238
56,56,1268
57,57,1389
58,58,1369
59,59,1383
60,60,1493
61,61,1585
62,62,1608
63,63,1582
64,64,1669
65,65,1818
66,66,1822
67,67,1821
68,68,2097
69,69,1912
70,70,1973
71,71,1978
72,72,2051
73,73,2081
74,74,2289
75,75,2374
76,76,2274
77,77,2385
78,78,2394
79,79,2580
80,80,3736
81,81,2819
82,82,2637
83,83,2650
84,84,3463
85,85,3560
86,86,3616
87,87,3493
88,88,3596
89,89,3304
90,90,3180
91,91,3335
92,92,3211
93,93,3946
94,94,3420
95,95,3579
96,96,3628
97,97,3728
98,98,3930
99,99,4731
100,100,4367
101,101,3889
102,102,4030
103,103,4811
104,104,4352
105,105,4685
106,106,4710
107,107,4450
108,108,4631
109,109,4657
110,110,4769
111,111,5844
112,112,4804
113,113,4802
114,114,5955
115,115,5108
116,116,5182
117,117,5266
118,118,5490
119,119,5410
120,120,5968
121,121,5444
122,122,6012
123,123,6386
124,124,5916
125,125,6013
126,126,5996
127,127,6160
128,128,6331
129,129,6371
130,130,6711
131,131,6504
132,132,7876
133,133,6631
134,134,6941
135,135,6917
136,136,6980
137,137,7134
138,138,8195
139,139,7315
140,140,8752
141,141,7850
142,142,8392
143,143,7954
144,144,7763
145,145,7997
146,146,9214
147,147,8213
148,148,8465
149,149,8383
150,150,8398
151,151,10632
152,152,9083
153,153,8877
154,154,9843
155,155,9668
156,156,9203
157,157,9667
158,158,10622
159,159,10444
160,160,10309
161,161,9799
162,162,9796
163,163,10199
164,164,10472
165,165,12438
166,166,10443
167,167,12238
168,168,11035
169,169,11716
170,170,12172
171,171,11120
172,172,11283
173,173,11346
174,174,11540
175,175,11650
176,176,12248
177,177,12454
178,178,12127
179,179,12061
180,180,12071
181,181,14631
182,182,12499
183,183,12907
184,184,12741
185,185,14020
186,186,15200
187,187,14354
188,188,14309
189,189,14323
190,190,15672
191,191,14827
192,192,16212
193,193,15492
194,194,14003
195,195,17628
196,196,17313
197,197,16406
198,198,15862
199,199,15475
200,200,15462
