Vertices,Density,Time taken(ms)
1,1,16
2,2,30
3,3,45
4,4,59
5,5,95
6,6,94
7,7,105
8,8,130
9,9,164
10,10,467
11,11,189
12,12,221
13,13,228
14,14,251
15,15,287
16,16,306
17,17,317
18,18,375
19,19,382
20,20,393
21,21,559
22,22,449
23,23,501
24,24,1682
25,25,530
26,26,596
27,27,604
28,28,671
29,29,666
30,30,686
31,31,750
32,32,734
33,33,832
34,34,829
35,35,864
36,36,897
37,37,2000
38,38,942
39,39,993
40,40,1064
41,41,1889
42,42,1211
43,43,1185
44,44,1340
45,45,1258
46,46,1628
47,47,1525
48,48,1369
49,49,1437
50,50,1441
51,51,1571
52,52,1575
53,53,1617
54,54,1615
55,55,1745
56,56,1799
57,57,1826
58,58,1884
59,59,1914
60,60,1944
61,61,1965
62,62,2056
63,63,2047
64,64,2168
65,65,2296
66,66,2310
67,67,2261
68,68,2338
69,69,2418
70,70,2547
71,71,2682
72,72,2660
73,73,2793
74,74,3431
75,75,2997
76,76,2998
77,77,2881
78,78,3152
79,79,3156
80,80,4204
81,81,3217
82,82,3654
83,83,3896
84,84,3477
85,85,3882
86,86,3501
87,87,3817
88,88,3670
89,89,3779
90,90,3735
91,91,4070
92,92,3892
93,93,4169
94,94,4227
95,95,4194
96,96,4525
97,97,4239
98,98,4289
99,99,4395
100,100,4595
101,101,4679
102,102,4693
103,103,5932
104,104,5150
105,105,5082
106,106,4860
107,107,6165
108,108,5036
109,109,5248
110,110,5815
111,111,5437
112,112,5907
113,113,6108
114,114,5805
115,115,6270
116,116,6436
117,117,5891
118,118,6208
119,119,6118
120,120,6140
121,121,6241
122,122,7252
123,123,7024
124,124,6874
125,125,6784
126,126,7964
127,127,8189
128,128,7430
129,129,7530
130,130,7595
131,131,8268
132,132,7540
133,133,7471
134,134,7714
135,135,8087
136,136,7956
137,137,9141
138,138,8296
139,139,8239
140,140,8573
141,141,9683
142,142,8981
143,143,9441
144,144,8876
145,145,9830
146,146,8700
147,147,10651
148,148,10034
149,149,10083
150,150,10037
151,151,9728
152,152,10261
153,153,10263
154,154,9989
155,155,10534
156,156,10214
157,157,12049
158,158,11176
159,159,11466
160,160,11278
161,161,12154
162,162,11252
163,163,10930
164,164,11537
165,165,12491
166,166,12238
167,167,11704
168,168,14925
169,169,11550
170,170,13250
171,171,12236
172,172,11632
173,173,12211
174,174,14117
175,175,12893
176,176,12722
177,177,14678
178,178,13486
179,179,14237
180,180,13291
181,181,12968
182,182,14601
183,183,15021
184,184,13841
185,185,13964
186,186,15933
187,187,15351
188,188,14087
189,189,15267
190,190,14799
191,191,14364
192,192,15549
193,193,15265
194,194,17414
195,195,15514
196,196,15420
197,197,15758
198,198,15800
199,199,16423
200,200,16451
