Size(n),S,Key Comparisons,Time(ms),Time(s)
10000,16,123273,4.8525,0.0048525
20000,16,266390,2.8388,0.0028388000000000003
30000,16,440571,3.3669,0.0033669000000000004
40000,16,573384,6.3399,0.006339900000000001
50000,16,752143,4.7447,0.0047447
60000,16,940981,4.8997,0.0048997
70000,16,1047904,8.009599999999999,0.0080096
80000,16,1226607,10.7099,0.010709900000000001
90000,16,1411393,7.572,0.007572000000000001
100000,16,1602693,6.7577,0.0067577
110000,16,1798558,7.3282,0.007328200000000001
120000,16,2001561,7.7302,0.0077302000000000004
130000,16,2210327,8.725,0.008725
140000,16,2236193,11.5102,0.0115102
150000,16,2423023,12.203,0.012203
160000,16,2612885,12.895399999999999,0.012895400000000001
170000,16,2804865,13.889299999999999,0.0138893
180000,16,3001720,14.1877,0.014187700000000001
190000,16,3200504,15.672799999999999,0.0156728
200000,16,3403126,16.3801,0.0163801
210000,16,3609444,17.9314,0.0179314
220000,16,3818865,20.150299999999998,0.020150300000000003
230000,16,4029819,16.0037,0.016003700000000003
240000,16,4243105,16.827299999999997,0.0168273
250000,16,4462371,17.7794,0.0177794
260000,16,4682642,18.2851,0.018285100000000002
270000,16,4726912,19.729,0.019729
280000,16,4750441,20.7988,0.020798800000000003
290000,16,4945915,21.7149,0.021714900000000002
300000,16,5145222,22.3493,0.022349300000000002
310000,16,5344457,24.1314,0.0241314
320000,16,5546142,23.6985,0.0236985
330000,16,5745887,24.660899999999998,0.024660900000000003
340000,16,5951337,24.9468,0.0249468
350000,16,6157178,25.3963,0.0253963
360000,16,6362039,26.6115,0.026611500000000003
370000,16,6571259,27.376099999999997,0.0273761
380000,16,6782203,29.0021,0.029002100000000003
390000,16,6991603,28.529,0.028529000000000002
400000,16,7207635,29.293499999999998,0.0292935
410000,16,7418480,29.9635,0.0299635
420000,16,7635024,30.9344,0.0309344
430000,16,7853917,31.6745,0.0316745
440000,16,8074191,33.6779,0.033677900000000004
450000,16,8293372,32.9801,0.032980100000000005
460000,16,8515895,33.911,0.033911000000000004
470000,16,8741960,34.8367,0.034836700000000005
480000,16,8967564,35.4187,0.035418700000000004
490000,16,9191497,35.8124,0.0358124
500000,16,9425856,37.7067,0.0377067
510000,16,9653389,38.7241,0.038724100000000004
520000,16,9885027,38.449799999999996,0.0384498
530000,16,9985451,39.1692,0.0391692
540000,16,9994817,43.495799999999996,0.0434958
550000,16,9999669,41.9197,0.041919700000000004
560000,16,10063675,43.2403,0.0432403
570000,16,10268228,46.052299999999995,0.046052300000000004
580000,16,10474264,46.347,0.046347000000000006
590000,16,10681232,48.7662,0.0487662
600000,16,10889146,46.172799999999995,0.0461728
610000,16,11099967,47.755399999999995,0.0477554
620000,16,11308715,48.6824,0.0486824
630000,16,11519406,50.9779,0.05097790000000001
640000,16,11729215,48.941199999999995,0.048941200000000004
650000,16,11940148,50.2444,0.0502444
660000,16,12153916,54.7497,0.054749700000000005
670000,16,12367279,53.9053,0.0539053
680000,16,12588049,52.239599999999996,0.052239600000000004
690000,16,12795731,53.1083,0.053108300000000004
700000,16,13015459,55.451299999999996,0.0554513
710000,16,13230359,55.041399999999996,0.055041400000000004
720000,16,13441827,55.4343,0.055434300000000006
730000,16,13664385,56.3026,0.0563026
740000,16,13885172,60.239399999999996,0.060239400000000005
750000,16,14104355,57.663199999999996,0.057663200000000005
760000,16,14325620,58.572399999999995,0.058572400000000004
770000,16,14543818,60.723699999999994,0.060723700000000005
780000,16,14761284,60.8535,0.060853500000000005
790000,16,14987766,61.813599999999994,0.0618136
800000,16,15210688,62.0592,0.0620592
810000,16,15437044,63.9565,0.0639565
820000,16,15663250,63.700799999999994,0.0637008
830000,16,15888460,64.0916,0.0640916
840000,16,16113485,66.714,0.06671400000000001
850000,16,16338718,65.6069,0.06560690000000001
860000,16,16570485,66.4313,0.0664313
870000,16,16799109,68.28479999999999,0.0682848
880000,16,17032668,68.7073,0.0687073
890000,16,17264619,68.7132,0.0687132
900000,16,17492154,69.64309999999999,0.0696431
910000,16,17722911,70.8111,0.0708111
920000,16,17951454,72.1746,0.0721746
930000,16,18192893,72.0917,0.07209170000000001
940000,16,18418719,72.6026,0.0726026
950000,16,18657386,73.3982,0.07339820000000001
960000,16,18892493,75.681,0.075681
970000,16,19132593,75.5402,0.0755402
980000,16,19366194,75.8271,0.07582710000000001
990000,16,19601934,76.702,0.076702
1000000,16,19848333,77.20389999999999,0.0772039
1010000,16,20086516,78.7346,0.0787346
1020000,16,20324443,78.7177,0.0787177
1030000,16,20565873,79.12089999999999,0.07912090000000001
1040000,16,20806319,80.9893,0.0809893
1050000,16,21016715,81.4239,0.08142390000000001
1060000,16,21034761,84.83579999999999,0.0848358
1070000,16,21045012,89.5632,0.08956320000000001
1080000,16,21064411,88.27109999999999,0.0882711
1090000,16,21088111,87.7937,0.0877937
1100000,16,21099853,89.9738,0.0899738
1110000,16,21114198,91.8596,0.0918596
1120000,16,21248428,90.4352,0.09043520000000001
1130000,16,21463721,93.3736,0.0933736
1140000,16,21682496,92.56949999999999,0.0925695
1150000,16,21893721,93.3168,0.0933168
1160000,16,22108862,95.6681,0.0956681
1170000,16,22325010,94.3767,0.09437670000000001
1180000,16,22538460,95.80659999999999,0.0958066
1190000,16,22759543,98.3856,0.0983856
1200000,16,22978432,97.8742,0.09787420000000001
1210000,16,23199476,98.7936,0.09879360000000001
1220000,16,23420959,98.8004,0.09880040000000001
1230000,16,23641920,99.95429999999999,0.09995430000000001
1240000,16,23860795,102.3853,0.10238530000000001
1250000,16,24078553,101.235,0.101235
1260000,16,24301845,103.1111,0.10311110000000001
1270000,16,24518548,102.44149999999999,0.1024415
1280000,16,24740900,103.59639999999999,0.1035964
1290000,16,24960535,107.94319999999999,0.1079432
1300000,16,25182010,105.9814,0.1059814
1310000,16,25401672,107.50319999999999,0.10750320000000001
1320000,16,25627719,107.6326,0.10763260000000001
1330000,16,25850810,109.7533,0.10975330000000001
1340000,16,26073962,112.1185,0.11211850000000001
1350000,16,26299256,111.2205,0.11122050000000001
1360000,16,26527425,113.8369,0.1138369
1370000,16,26754354,113.6486,0.1136486
1380000,16,26977071,115.32509999999999,0.11532510000000001
1390000,16,27203543,115.7111,0.11571110000000001
1400000,16,27424484,117.20259999999999,0.1172026
1410000,16,27650412,115.2255,0.11522550000000001
1420000,16,27876244,117.26509999999999,0.11726510000000001
1430000,16,28100959,117.8333,0.1178333
1440000,16,28328097,118.4833,0.11848330000000001
1450000,16,28557859,120.09809999999999,0.12009810000000001
1460000,16,28786089,121.00869999999999,0.12100870000000001
1470000,16,29013941,122.1597,0.12215970000000001
1480000,16,29245102,120.39519999999999,0.12039520000000001
1490000,16,29481093,124.5859,0.12458590000000001
1500000,16,29708493,123.44619999999999,0.1234462
1510000,16,29938537,122.8643,0.12286430000000001
1520000,16,30169009,123.2417,0.12324170000000001
1530000,16,30398450,127.2723,0.1272723
1540000,16,30627165,126.1972,0.1261972
1550000,16,30864713,128.3173,0.1283173
1560000,16,31093252,127.1049,0.12710490000000002
1570000,16,31320419,130.7962,0.1307962
1580000,16,31556278,129.3553,0.1293553
1590000,16,31785695,132.2909,0.13229090000000002
1600000,16,32027411,130.6138,0.1306138
1610000,16,32261994,132.0973,0.1320973
1620000,16,32496556,132.2603,0.1322603
1630000,16,32730969,134.3549,0.1343549
1640000,16,32968423,137.4394,0.13743940000000002
1650000,16,33200074,135.9136,0.1359136
1660000,16,33442284,137.1627,0.1371627
1670000,16,33675042,138.74429999999998,0.13874430000000001
1680000,16,33913940,137.3182,0.1373182
1690000,16,34145554,139.71359999999999,0.13971360000000002
1700000,16,34383200,140.2376,0.14023760000000002
1710000,16,34622806,142.3782,0.1423782
1720000,16,34861609,142.2617,0.14226170000000002
1730000,16,35099778,145.81799999999998,0.145818
1740000,16,35340914,142.1876,0.1421876
1750000,16,35582703,144.052,0.144052
1760000,16,35817828,143.8726,0.14387260000000002
1770000,16,36061123,146.7428,0.1467428
1780000,16,36290980,145.9553,0.1459553
1790000,16,36536918,150.832,0.15083200000000002
1800000,16,36781635,149.4924,0.1494924
1810000,16,37021731,148.8063,0.1488063
1820000,16,37260802,148.5513,0.1485513
1830000,16,37509892,152.4788,0.1524788
1840000,16,37740774,150.5025,0.1505025
1850000,16,38000948,152.9484,0.1529484
1860000,16,38237907,151.58589999999998,0.1515859
1870000,16,38488556,154.9683,0.1549683
1880000,16,38722328,155.0832,0.1550832
1890000,16,38967789,159.29579999999999,0.15929580000000002
1900000,16,39219571,156.7453,0.1567453
1910000,16,39467108,157.2466,0.15724660000000001
1920000,16,39710444,157.65529999999998,0.1576553
1930000,16,39954139,163.3498,0.16334980000000002
1940000,16,40207865,159.049,0.15904900000000002
1950000,16,40444903,162.00289999999998,0.1620029
1960000,16,40692819,164.5806,0.16458060000000002
1970000,16,40937008,162.31359999999998,0.1623136
1980000,16,41192652,161.4594,0.1614594
1990000,16,41438391,162.63989999999998,0.1626399
2000000,16,41690080,166.5427,0.16654270000000002
2010000,16,41946779,165.6958,0.1656958
2020000,16,42194623,169.8508,0.16985080000000002
2030000,16,42441642,176.8759,0.1768759
2040000,16,42699376,170.3596,0.1703596
2050000,16,42948271,170.2596,0.1702596
