Size(n),S,Key Comparisons,Time(ms),Time(s)
10,128,30,3.0572,0.0030572000000000004
20000,128,552566,7.8445,0.0078445
40000,128,1146891,8.8501,0.008850100000000001
60000,128,2315238,6.9506,0.0069506
80000,128,2385189,8.6355,0.0086355
100000,128,3474119,8.3832,0.0083832
120000,128,4740772,13.1687,0.0131687
140000,128,3971842,13.890099999999999,0.0138901
160000,128,4928465,14.349599999999999,0.0143496
180000,128,5984951,18.3602,0.0183602
200000,128,7139390,15.616999999999999,0.015617
220000,128,8388069,16.9835,0.016983500000000002
240000,128,9748747,19.0687,0.0190687
260000,128,11192415,20.9924,0.0209924
280000,128,8219321,22.4073,0.0224073
300000,128,9185731,24.3186,0.024318600000000003
320000,128,10180894,26.720399999999998,0.026720400000000002
340000,128,11231205,23.756999999999998,0.023757
360000,128,12352381,25.3832,0.0253832
380000,128,13497142,27.9238,0.027923800000000002
400000,128,14683321,29.169999999999998,0.02917
420000,128,15927782,31.3571,0.0313571
440000,128,17224100,32.5087,0.0325087
460000,128,18574082,34.288399999999996,0.034288400000000004
480000,128,19977718,37.3232,0.0373232
500000,128,21428420,37.4447,0.037444700000000004
520000,128,22924648,38.9568,0.0389568
540000,128,16061306,39.165299999999995,0.0391653
560000,128,16998711,42.722,0.042722
580000,128,17958839,45.5304,0.045530400000000006
600000,128,18947088,47.224199999999996,0.0472242
620000,128,19986544,45.5532,0.0455532
640000,128,20987727,47.916999999999994,0.047917
660000,128,22074788,50.5693,0.050569300000000005
680000,128,23139799,52.0948,0.052094800000000004
700000,128,24265526,55.490399999999994,0.0554904
720000,128,25368675,54.2279,0.0542279
740000,128,26549225,55.6504,0.0556504
760000,128,27723202,57.338499999999996,0.0573385
780000,128,28961482,61.0091,0.061009100000000004
800000,128,30182038,60.618399999999994,0.0606184
820000,128,31430459,63.087399999999995,0.0630874
840000,128,32720932,64.761,0.064761
860000,128,34014992,67.3822,0.0673822
880000,128,35329085,67.948,0.06794800000000001
900000,128,36732718,69.6413,0.0696413
920000,128,38060337,71.9525,0.0719525
940000,128,39474715,75.11059999999999,0.0751106
960000,128,40908297,76.52409999999999,0.07652410000000001
980000,128,42369306,77.2498,0.07724980000000001
1000000,128,43810715,80.6,0.0806
1020000,128,45334385,80.4881,0.0804881
1040000,128,46821542,82.53739999999999,0.08253740000000001
1060000,128,32264336,82.2513,0.0822513
1080000,128,33219311,82.47659999999999,0.08247660000000001
1100000,128,34157348,85.9022,0.08590220000000001
1120000,128,35114920,86.0375,0.0860375
1140000,128,36091603,89.4354,0.08943540000000001
1160000,128,37094690,94.1878,0.0941878
1180000,128,38082613,92.3849,0.0923849
1200000,128,39131515,95.015,0.095015
1220000,128,40143065,95.33,0.09533000000000001
1240000,128,41191547,98.7037,0.0987037
1260000,128,42205327,97.3887,0.09738870000000001
1280000,128,43277272,99.7117,0.0997117
1300000,128,44353256,102.0303,0.1020303
1320000,128,45438525,102.7153,0.10271530000000001
1340000,128,46557362,105.1617,0.10516170000000001
1360000,128,47641374,106.7803,0.10678030000000001
1380000,128,48766000,108.5988,0.10859880000000001
1400000,128,49941741,112.3386,0.11233860000000001
1420000,128,51055452,111.7845,0.11178450000000001
1440000,128,52207816,114.609,0.114609
1460000,128,53363023,115.4636,0.11546360000000001
1480000,128,54593850,118.18629999999999,0.11818630000000001
1500000,128,55785282,120.1224,0.1201224
1520000,128,56995657,121.082,0.12108200000000001
1540000,128,58212200,123.77759999999999,0.1237776
1560000,128,59459206,124.72699999999999,0.124727
1580000,128,60718091,126.01719999999999,0.1260172
1600000,128,61961474,128.6386,0.12863860000000002
1620000,128,63204435,130.79149999999998,0.1307915
1640000,128,64519872,132.65179999999998,0.13265180000000001
1660000,128,65776945,134.31109999999998,0.13431110000000002
1680000,128,67085926,135.9612,0.1359612
1700000,128,68382539,138.2276,0.1382276
1720000,128,69785718,139.3766,0.13937660000000002
1740000,128,71051614,142.85829999999999,0.14285830000000002
1760000,128,72481015,143.5309,0.14353090000000002
1780000,128,73816794,147.7934,0.14779340000000002
1800000,128,75259942,147.57659999999998,0.1475766
1820000,128,76596235,149.48749999999998,0.14948750000000002
1840000,128,77969307,151.8673,0.1518673
1860000,128,79400667,153.4201,0.1534201
1880000,128,80777738,154.8509,0.1548509
1900000,128,82237714,157.66469999999998,0.15766470000000002
1920000,128,83712452,160.2809,0.1602809
1940000,128,85161575,160.8615,0.16086150000000002
1960000,128,86645105,162.3075,0.16230750000000002
1980000,128,88128112,163.9485,0.1639485
2000000,128,89641938,166.34609999999998,0.1663461
2020000,128,91119278,169.00279999999998,0.1690028
2040000,128,92701826,170.0188,0.1700188
2060000,128,94123725,172.5155,0.17251550000000002
2080000,128,95754299,176.6797,0.17667970000000002
2100000,128,91747823,177.71339999999998,0.17771340000000002
